Username,Create time,Teks
yaniarsim,Fri Feb 28 07:30:58 +0000 2025,Beli Pertamax isinya Pertalite. Milih Wowo isinya Wiwi. Nasib.....nasib #IndonesiaGelap https://t.co/7xxWf9dkkL
4NTiTA1P4NP1Kz,Wed Feb 26 15:45:11 +0000 2025,MAKASAR 24.02.25 Aksi Indonesia gelap mahasiswa di Jalan Urip Sumoahrjo MAKASAR 24.02.25 #JokowiPawangPrabowo #DanantaraKonspirasiJahat https://t.co/EPkJwPEpDq
yaniarsim,Wed Feb 26 02:50:18 +0000 2025,Yang kuat ya kelen... Indonesia sedang tidak baik-baik saja. #IndonesiaGelap https://t.co/kiUROWRvOz
tempodotco,Fri Feb 21 12:46:32 +0000 2025,Massa aksi Indonesia Gelap menyanyikan lagu milik Sukatani berjudul Bayar Bayar Bayar saat demonstrasi menuntut kinerja pemerintahan Prabowo Subianto di kawasan Patung Kuda Jakarta pada Jumat 21 Februari 2025. Lagu itu diputar melalui pengeras suara yang ada di mobil https://t.co/uoGoc7KUm0
neVerAl0nely,Fri Feb 21 15:14:01 +0000 2025,Up date from Bandung Indonesia Situasi saat ini BANDUNG AKSI INDONESIA GELAP PARA PESERTA AKSI MASIH BERTAHAN DALAM KONDISI HUJAN https://t.co/TtgLYwQy5U
KontraS,Fri Feb 21 08:27:38 +0000 2025,Tepat di halaman calon perusak negara selanjutnya! Efisiensi bukan cuma untuk penghematan anggaran &amp; pelaksanaan Makan Bergizi Gratis. Tapi juga untuk lembaga investasi ngawur yang akan jadi bancakan pencuri selanjutnya! Lawan #IndonesiaGelap https://t.co/5t7MjgEHKa
voaindonesia,Fri Feb 21 10:04:01 +0000 2025,Massa lintas golongan kembali turun ke kawasan Patung Kuda Medan Merdeka Jakarta Jumat (21/2) dalam aksi Indonesia Gelap yang telah berlangsung sepekan ini. https://t.co/PT8iiba6Fn
Fayalet,Tue Feb 25 08:52:09 +0000 2025, 5 years? Your government won't last that long. A documentary of Dark Indonesia movement ( Indonesia Gelap ) a week-long mass protest on its peak to stand up against the established policies : EOS M6 (Lens EF 55-200mm B+W Filter) : Duster - Want No Light to Shine https://t.co/mH3OAJW6NZ
sarjana_crypto,Wed Feb 26 12:53:19 +0000 2025,Indonesia gelap? Apa sih sebenarnya plan duo pak Jokowi dan pak Prabowo ini https://t.co/7F7S8VeNxc
Fuzui_jamrd,Fri Feb 21 00:34:00 +0000 2025,BAAANG UDAH BAAANG MALAH MASUK BERITA ANJIR #IndonesiaGelap #PeringatanDarurat #wibubergerak https://t.co/SMvHliWgsK
CakKhum,Fri Feb 21 11:19:53 +0000 2025,Bayar Polisi itu lagu padahal liriknya fakta di lapangan realita tapi dibungkam #KamiBersamaSukatani #IndonesiaGelap https://t.co/qSPhNxyPJO
jondhez,Thu Feb 27 03:24:14 +0000 2025,Yang melihat Indonesia gelap: https://t.co/gcUg0MUHZw
